mp-1008223,0,0,0,27.35811,0,0,0,0,0,0,27.35811,0,0,0,0,0,0,27.35811
mp-1009639,0,0,0,-4.66015,0,0,0,0,0,0,-4.66015,0,0,0,0,0,0,-4.66015
mp-1016197,0,0,0,-2.557332,0,0,0,0,0,0,-2.557332,0,0,0,0,0,0,-4.326231
mp-10182,0,0,0,12.635967,0,0,0,0,0,0,12.635967,0,0,0,0,0,0,12.635967
mp-1020019,0,0,0,0,-0.87296,0,0,0,0,-2.734424,0,0,-2.656147,-1.760113,4.637123,0,0,0
mp-1020703,0.639252266,-0.604975307,0.376320253,1.81E-17,0.293077897,-6.55E-18,4.42E-17,-1.06E-17,6.16E-17,3.765384181,-2.04E-16,-1.664504819,-0.421793507,0.809485916,-0.904359969,-1.14E-16,-0.143036474,-5.60E-17
mp-1021328,0,0,0,-3.153091282,0,0,0,0,0,0,-3.153091282,0,0,0,0,0,0,-3.153091282
mp-10281,0,0,0,0,-1.337817433,0,0,0,0,-1.337817754,0,0,-0.619460874,-0.619461126,0.907685,0,0,0
mp-1029294,0,0,0,0,-2.968588,0,0,0,0,-5.35383,0,0,-2.02669,-3.34033,6.751186,0,0,0
mp-1029652,-4.222985,-0.581185,-0.581185,0,0,0,0,0,0,0,0,-9.651,0,0,0,0,-9.651,0
mp-10426,0,0,0,-0.36614194,0,6.348185262,-38.74908475,-46.75889799,-8.058371598,0,99.4616092,0,0,0,0,-1.597188741,0,-7.503676704
mp-1070,0,0,0,0,-4.939079306,0,0,0,0,-4.939081063,0,0,-2.374745328,-2.374746672,4.260836,0,0,0
mp-11520,0,0,0,-8.535402667,0,0,0,0,0,0,-8.535402667,0,0,0,0,0,0,-8.535402667
mp-1156,0,0,0,-4.4091,0,0,0,0,0,0,-4.4091,0,0,0,0,0,0,-4.4091
mp-11725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mp-12532,0,0,0,-4.510254,0,0,0,0,0,0,-4.510254,0,0,0,0,0,0,-10.653795
mp-12954,0,0,0,0.3087,0,0,0,0,0,0,0.3087,0,0,0,0,0,0,-0.69947
mp-13032,0,0,0,11.20258267,0,0,0,0,0,0,11.20258267,0,0,0,0,0,0,11.20258267
mp-16327,0,0,0,-7.163856,0,0,0,0,0,0,-7.163856,0,0,0,0,0,0,-7.163856
mp-16337,0,0,0,-3.0808855,0.791802,0,0,0,0,-0.791802,-3.0808855,0,-1.534876,1.534876,3.47E-17,0,0,-5.029871
mp-16566,0,0,0,1.30953051,0,0,0,0,0,0,1.30953051,0,0,0,0,0,0,4.01261762
mp-18762,23.74962712,-12.59700888,-5.127459791,0,-2.986465175,0,0,0,0,-15.0517599,0,20.60988797,-0.424808098,2.229556987,-5.723634368,0,-0.932493316,0
mp-18775,0,0,0,0,10.84110961,-13.51300631,-6.724230044,6.724229651,1.83E-07,10.77646538,0,0,2.427535373,2.427534627,-0.525681,8.85E-08,0,0
